Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,14T,17T,18T,19T,20T,27T
23/2/2018,31,n/a,n/a,n/a,29,n/a,33,38,29,n/a,30,n/a,n/a,n/a,35,n/a,18
24/2/2018,40,n/a,n/a,n/a,40,n/a,41,48,41,n/a,37,n/a,n/a,n/a,40,n/a,29
25/2/2018,35,n/a,n/a,n/a,37,n/a,36,48,41,n/a,32,n/a,n/a,n/a,35,n/a,21
26/2/2018,40,n/a,n/a,n/a,38,n/a,44,55,40,n/a,41,n/a,n/a,n/a,39,n/a,37
27/2/2018,31,n/a,n/a,n/a,29,n/a,33,32,35,n/a,30,n/a,n/a,n/a,33,n/a,25
28/2/2018,38,n/a,n/a,n/a,39,n/a,42,38,40,n/a,37,n/a,n/a,n/a,37,n/a,38
1/3/2018,24,n/a,n/a,n/a,26,n/a,28,27,29,n/a,23,n/a,n/a,n/a,25,n/a,22
2/3/2018,24,n/a,n/a,n/a,21,n/a,27,27,25,n/a,17,n/a,n/a,n/a,29,n/a,21
3/3/2018,15,n/a,n/a,n/a,13,n/a,19,19,17,n/a,n/a,n/a,n/a,n/a,20,n/a,12
4/3/2018,12,n/a,n/a,n/a,11,n/a,19,18,16,n/a,n/a,n/a,n/a,n/a,15,n/a,11
5/3/2018,11,n/a,n/a,n/a,10,n/a,18,14,17,n/a,n/a,n/a,n/a,n/a,18,n/a,9
6/3/2018,14,n/a,n/a,n/a,12,n/a,20,17,17,n/a,n/a,n/a,n/a,n/a,23,n/a,n/a
7/3/2018,17,n/a,n/a,n/a,15,n/a,22,19,22,n/a,n/a,n/a,n/a,n/a,25,n/a,n/a
8/3/2018,23,n/a,n/a,n/a,23,n/a,30,29,27,n/a,23,n/a,n/a,n/a,28,n/a,12
9/3/2018,29,n/a,n/a,n/a,27,n/a,31,32,28,n/a,30,n/a,n/a,n/a,29,n/a,31
10/3/2018,43,n/a,n/a,n/a,41,n/a,43,47,43,n/a,42,n/a,n/a,n/a,44,n/a,53
11/3/2018,62,n/a,n/a,n/a,61,n/a,61,65,58,n/a,66,n/a,n/a,n/a,67,n/a,70
12/3/2018,76,n/a,n/a,n/a,76,n/a,80,87,75,n/a,82,n/a,n/a,n/a,74,n/a,87
13/3/2018,40,n/a,n/a,n/a,40,n/a,43,45,42,n/a,40,n/a,n/a,n/a,36,n/a,n/a
14/3/2018,28,n/a,n/a,n/a,n/a,n/a,30,33,29,n/a,26,n/a,n/a,n/a,27,n/a,n/a
15/3/2018,26,n/a,n/a,n/a,30,n/a,27,26,24,n/a,24,n/a,n/a,n/a,30,n/a,n/a
16/3/2018,25,n/a,n/a,n/a,31,n/a,26,n/a,25,n/a,28,n/a,n/a,n/a,28,n/a,17
17/3/2018,19,n/a,n/a,n/a,22,n/a,20,20,18,n/a,21,n/a,n/a,n/a,22,n/a,14
18/3/2018,14,n/a,n/a,n/a,18,n/a,16,16,13,n/a,n/a,n/a,n/a,n/a,18,n/a,n/a
19/3/2018,15,n/a,n/a,n/a,19,n/a,16,16,15,n/a,17,n/a,n/a,n/a,21,n/a,n/a
20/3/2018,22,n/a,n/a,n/a,25,n/a,25,25,21,n/a,28,n/a,n/a,n/a,23,n/a,17
21/3/2018,27,n/a,n/a,n/a,29,n/a,26,25,25,n/a,30,n/a,n/a,n/a,26,n/a,15
22/3/2018,38,n/a,n/a,n/a,38,n/a,34,38,32,n/a,38,n/a,n/a,n/a,34,n/a,26
23/3/2018,46,n/a,n/a,n/a,52,n/a,45,48,42,n/a,49,n/a,n/a,n/a,44,n/a,37
24/3/2018,54,n/a,n/a,n/a,60,n/a,50,50,51,n/a,54,n/a,n/a,n/a,52,n/a,42
25/3/2018,41,n/a,n/a,n/a,47,n/a,37,37,38,n/a,n/a,n/a,n/a,n/a,40,n/a,29
26/3/2018,33,n/a,n/a,n/a,36,n/a,31,29,30,n/a,34,n/a,n/a,n/a,30,n/a,21
27/3/2018,45,n/a,n/a,n/a,41,n/a,43,42,41,n/a,n/a,n/a,n/a,n/a,95,n/a,32
28/3/2018,35,n/a,n/a,n/a,33,n/a,33,32,32,n/a,31,n/a,n/a,n/a,32,n/a,25
29/3/2018,32,n/a,n/a,n/a,29,n/a,28,28,25,n/a,28,n/a,n/a,n/a,33,n/a,21
30/3/2018,35,n/a,n/a,28,31,n/a,32,29,31,n/a,29,n/a,n/a,n/a,33,n/a,24
31/3/2018,37,n/a,n/a,30,34,n/a,33,30,34,n/a,31,n/a,n/a,n/a,39,n/a,22
1/4/2018,47,n/a,n/a,33,45,n/a,42,42,44,n/a,40,n/a,n/a,n/a,39,n/a,35
2/4/2018,42,n/a,n/a,36,44,n/a,41,42,43,n/a,44,n/a,n/a,n/a,42,n/a,38
3/4/2018,n/a,n/a,n/a,33,43,n/a,45,45,40,n/a,47,n/a,n/a,n/a,43,n/a,36
4/4/2018,n/a,n/a,n/a,26,30,n/a,29,23,27,n/a,31,n/a,n/a,n/a,n/a,n/a,21
5/4/2018,n/a,n/a,n/a,26,34,n/a,34,21,32,n/a,37,n/a,n/a,n/a,31,n/a,30
6/4/2018,n/a,n/a,n/a,36,43,n/a,43,36,43,n/a,51,n/a,n/a,n/a,40,n/a,37
7/4/2018,n/a,n/a,n/a,12,20,n/a,19,15,20,n/a,27,n/a,n/a,n/a,17,n/a,23
8/4/2018,n/a,n/a,n/a,20,26,n/a,28,24,28,n/a,30,n/a,n/a,n/a,20,n/a,36
9/4/2018,n/a,n/a,n/a,38,43,n/a,45,45,42,n/a,51,n/a,n/a,n/a,46,n/a,80
10/4/2018,43,n/a,n/a,51,52,n/a,n/a,56,52,n/a,62,n/a,n/a,n/a,58,n/a,63
11/4/2018,19,n/a,n/a,25,30,n/a,30,18,28,n/a,32,n/a,n/a,n/a,26,n/a,21
12/4/2018,11,n/a,n/a,16,21,n/a,21,10,18,n/a,18,n/a,n/a,n/a,20,n/a,n/a
13/4/2018,9,n/a,n/a,16,21,n/a,19,10,16,n/a,22,n/a,n/a,n/a,20,n/a,n/a
14/4/2018,9,n/a,n/a,16,21,n/a,20,12,17,n/a,20,n/a,n/a,n/a,21,n/a,n/a
15/4/2018,8,n/a,n/a,15,21,n/a,20,12,18,n/a,18,n/a,n/a,n/a,20,n/a,n/a
16/4/2018,16,n/a,n/a,22,28,n/a,24,18,26,n/a,24,n/a,n/a,n/a,24,n/a,n/a
17/4/2018,10,n/a,n/a,14,21,n/a,19,13,16,n/a,21,n/a,n/a,n/a,21,n/a,n/a
18/4/2018,19,n/a,n/a,21,32,n/a,31,25,32,n/a,33,n/a,n/a,n/a,26,n/a,n/a
19/4/2018,12,n/a,n/a,16,26,n/a,22,16,20,n/a,28,n/a,n/a,n/a,21,n/a,n/a
20/4/2018,9,n/a,n/a,14,22,n/a,20,14,17,n/a,22,n/a,n/a,n/a,32,n/a,12
21/4/2018,11,n/a,n/a,17,23,n/a,22,16,19,n/a,24,n/a,n/a,n/a,31,n/a,17
22/4/2018,9,n/a,n/a,13,20,n/a,17,14,15,n/a,21,n/a,n/a,n/a,18,n/a,13
23/4/2018,13,n/a,n/a,20,26,n/a,27,21,23,n/a,26,n/a,n/a,n/a,18,n/a,18
24/4/2018,11,n/a,n/a,18,22,n/a,23,16,20,n/a,26,n/a,n/a,n/a,19,n/a,20
25/4/2018,16,n/a,n/a,22,28,n/a,28,22,24,n/a,31,n/a,n/a,n/a,25,n/a,24
26/4/2018,13,n/a,n/a,18,22,n/a,24,19,19,n/a,28,n/a,n/a,n/a,22,n/a,23
27/4/2018,14,n/a,n/a,17,22,n/a,24,21,23,n/a,27,n/a,n/a,n/a,22,n/a,32
28/4/2018,12,n/a,n/a,13,21,n/a,21,18,22,n/a,24,n/a,n/a,n/a,26,n/a,21
29/4/2018,15,n/a,n/a,17,26,n/a,25,21,26,n/a,28,n/a,n/a,n/a,26,n/a,24
30/4/2018,8,n/a,n/a,13,19,n/a,19,17,15,n/a,21,n/a,n/a,n/a,19,n/a,11
1/5/2018,4,n/a,n/a,9,13,n/a,13,10,11,n/a,10,n/a,n/a,n/a,14,n/a,9
2/5/2018,4,n/a,n/a,8,16,n/a,15,12,11,n/a,10,n/a,n/a,n/a,14,n/a,18
3/5/2018,9,n/a,n/a,14,19,n/a,21,18,18,n/a,18,n/a,n/a,n/a,17,n/a,25
4/5/2018,12,n/a,n/a,12,22,n/a,22,18,21,n/a,21,n/a,n/a,n/a,26,n/a,17
5/5/2018,n/a,n/a,n/a,10,17,n/a,16,14,18,n/a,15,n/a,n/a,n/a,16,n/a,14
6/5/2018,4,n/a,n/a,10,17,n/a,16,13,16,n/a,12,n/a,n/a,n/a,13,n/a,9
7/5/2018,11,n/a,n/a,15,19,n/a,18,17,17,n/a,n/a,n/a,n/a,n/a,16,n/a,14
8/5/2018,19,n/a,n/a,18,22,n/a,22,20,19,n/a,26,n/a,n/a,n/a,n/a,n/a,15
9/5/2018,13,n/a,n/a,15,17,n/a,19,17,19,n/a,20,n/a,n/a,n/a,15,n/a,14
10/5/2018,10,n/a,n/a,14,17,n/a,17,15,15,n/a,23,n/a,n/a,n/a,12,n/a,13
11/5/2018,14,n/a,n/a,14,18,n/a,19,18,19,n/a,25,n/a,n/a,n/a,20,n/a,24
12/5/2018,21,n/a,n/a,20,27,n/a,28,26,29,n/a,31,n/a,n/a,n/a,26,n/a,38
13/5/2018,22,n/a,n/a,20,26,n/a,23,20,28,n/a,29,n/a,n/a,n/a,19,n/a,21
14/5/2018,18,n/a,n/a,16,20,n/a,22,17,22,n/a,24,n/a,n/a,n/a,25,n/a,13
15/5/2018,20,n/a,n/a,22,26,n/a,28,23,26,n/a,30,n/a,n/a,n/a,21,n/a,n/a
16/5/2018,10,n/a,n/a,14,19,n/a,18,15,19,n/a,20,n/a,n/a,n/a,15,n/a,13
17/5/2018,10,n/a,n/a,10,16,n/a,16,12,14,n/a,20,n/a,n/a,n/a,16,n/a,10
18/5/2018,11,n/a,n/a,12,19,n/a,20,14,18,n/a,22,n/a,n/a,n/a,21,n/a,9
19/5/2018,13,n/a,n/a,15,18,n/a,n/a,17,17,n/a,24,n/a,n/a,n/a,18,n/a,19
20/5/2018,17,n/a,n/a,22,26,n/a,n/a,19,28,n/a,30,n/a,n/a,n/a,19,n/a,23
21/5/2018,16,n/a,n/a,20,24,n/a,24,19,20,n/a,27,n/a,n/a,n/a,23,n/a,11
22/5/2018,18,n/a,n/a,19,22,n/a,25,25,21,n/a,36,n/a,n/a,n/a,18,n/a,30
23/5/2018,18,n/a,n/a,17,22,n/a,25,27,19,n/a,35,n/a,n/a,n/a,20,n/a,34
24/5/2018,11,n/a,n/a,8,16,n/a,16,13,12,n/a,21,n/a,n/a,n/a,15,n/a,9
25/5/2018,9,n/a,n/a,12,14,n/a,15,14,12,n/a,20,n/a,n/a,n/a,11,n/a,15
26/5/2018,10,n/a,n/a,13,14,n/a,15,19,16,n/a,21,n/a,n/a,n/a,14,n/a,23
27/5/2018,13,n/a,n/a,13,17,n/a,19,16,17,n/a,24,n/a,n/a,n/a,14,n/a,29
28/5/2018,16,n/a,n/a,18,22,n/a,22,21,21,n/a,28,n/a,n/a,n/a,17,n/a,19
29/5/2018,10,n/a,n/a,9,14,n/a,14,12,12,n/a,19,n/a,n/a,n/a,14,n/a,9
30/5/2018,16,n/a,n/a,11,15,n/a,16,12,13,n/a,20,n/a,n/a,n/a,18,n/a,7
31/5/2018,13,n/a,n/a,17,22,n/a,24,20,22,n/a,25,n/a,n/a,n/a,15,n/a,26
1/6/2018,14,n/a,n/a,11,17,n/a,18,16,17,n/a,23,n/a,n/a,n/a,24,n/a,15
2/6/2018,12,n/a,n/a,10,17,n/a,17,15,16,n/a,21,n/a,n/a,n/a,18,n/a,17
3/6/2018,11,n/a,n/a,10,14,n/a,14,12,13,n/a,21,n/a,n/a,n/a,14,n/a,11
4/6/2018,9,n/a,n/a,8,14,n/a,14,12,14,n/a,18,n/a,n/a,n/a,13,n/a,12
5/6/2018,10,n/a,n/a,7,12,n/a,15,13,11,n/a,18,n/a,n/a,n/a,12,n/a,13
6/6/2018,14,n/a,n/a,11,15,n/a,17,17,16,n/a,21,n/a,n/a,n/a,14,n/a,19
7/6/2018,13,n/a,n/a,11,14,n/a,16,15,13,n/a,18,n/a,n/a,n/a,12,n/a,14
8/6/2018,13,n/a,n/a,8,14,n/a,15,11,11,n/a,18,n/a,n/a,n/a,14,n/a,12
9/6/2018,8,n/a,n/a,9,15,n/a,13,12,12,n/a,15,n/a,n/a,n/a,16,n/a,8
10/6/2018,8,n/a,n/a,7,14,n/a,12,12,13,n/a,22,n/a,n/a,n/a,9,n/a,8
11/6/2018,8,n/a,n/a,10,14,n/a,12,10,10,n/a,18,n/a,n/a,n/a,12,n/a,7
12/6/2018,7,n/a,n/a,7,13,n/a,11,9,10,n/a,16,n/a,n/a,n/a,9,n/a,6
13/6/2018,10,n/a,n/a,7,15,n/a,13,11,10,n/a,15,n/a,n/a,n/a,10,n/a,8
14/6/2018,11,n/a,n/a,10,14,n/a,14,12,11,n/a,17,n/a,n/a,n/a,11,n/a,10
