Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,14T,17T,18T,19T,20T,27T
28/8/2018,15,n/a,n/a,15,16,n/a,20,19,17,27,22,n/a,n/a,12,14,n/a,18
29/8/2018,20,n/a,n/a,19,19,n/a,25,23,21,31,22,n/a,n/a,14,15,n/a,22
30/8/2018,13,n/a,n/a,10,11,n/a,14,13,11,23,17,n/a,n/a,9,11,n/a,15
31/8/2018,14,n/a,n/a,11,12,n/a,16,13,12,15,19,n/a,n/a,9,10,n/a,18
1/9/2018,14,n/a,n/a,12,16,n/a,20,17,15,33,19,n/a,n/a,10,13,n/a,17
2/9/2018,14,n/a,n/a,12,15,n/a,19,15,16,36,21,n/a,n/a,12,15,n/a,n/a
3/9/2018,10,n/a,n/a,10,13,n/a,16,15,14,31,18,n/a,n/a,8,12,n/a,n/a
4/9/2018,11,n/a,n/a,7,12,n/a,15,12,11,33,18,n/a,n/a,9,16,n/a,n/a
5/9/2018,15,n/a,n/a,8,14,n/a,18,n/a,12,28,20,n/a,n/a,10,17,n/a,n/a
6/9/2018,17,n/a,n/a,10,17,n/a,23,n/a,16,33,23,n/a,n/a,20,20,n/a,n/a
7/9/2018,19,n/a,n/a,19,19,n/a,23,19,21,22,24,n/a,n/a,17,21,n/a,n/a
8/9/2018,22,n/a,n/a,19,22,n/a,28,25,23,41,31,n/a,n/a,24,26,n/a,n/a
9/9/2018,26,n/a,n/a,26,28,n/a,34,34,32,50,32,n/a,n/a,24,31,n/a,n/a
10/9/2018,29,n/a,n/a,27,31,n/a,39,35,32,52,40,n/a,n/a,27,30,n/a,n/a
11/9/2018,17,n/a,n/a,13,16,n/a,21,17,16,29,21,n/a,n/a,16,18,n/a,n/a
12/9/2018,18,n/a,n/a,17,18,n/a,21,19,17,n/a,25,n/a,n/a,15,21,n/a,n/a
13/9/2018,18,n/a,n/a,15,17,n/a,22,17,16,19,n/a,n/a,n/a,16,25,n/a,n/a
14/9/2018,13,n/a,n/a,10,15,n/a,18,17,15,30,n/a,n/a,n/a,15,22,n/a,n/a
15/9/2018,14,n/a,n/a,11,14,n/a,21,17,17,32,22,n/a,n/a,14,20,n/a,n/a
16/9/2018,14,n/a,n/a,9,16,n/a,20,16,20,34,21,n/a,n/a,13,19,n/a,n/a
17/9/2018,10,n/a,n/a,10,10,n/a,16,15,13,13,19,n/a,n/a,8,8,n/a,n/a
18/9/2018,8,n/a,n/a,7,9,n/a,13,12,11,19,19,n/a,n/a,6,10,n/a,9
19/9/2018,8,n/a,n/a,12,14,n/a,16,11,15,23,18,n/a,n/a,10,15,n/a,7
20/9/2018,21,n/a,n/a,16,20,n/a,25,21,26,31,27,n/a,n/a,21,26,n/a,33
21/9/2018,27,n/a,n/a,19,n/a,n/a,31,27,28,38,37,n/a,n/a,29,23,n/a,52
22/9/2018,19,n/a,n/a,17,n/a,n/a,24,27,22,32,29,n/a,n/a,20,22,n/a,35
23/9/2018,14,n/a,n/a,13,n/a,n/a,20,20,16,29,25,n/a,n/a,16,19,n/a,19
24/9/2018,17,n/a,n/a,15,n/a,n/a,25,21,18,36,26,n/a,n/a,15,19,n/a,22
25/9/2018,16,n/a,n/a,13,12,n/a,26,19,18,32,25,n/a,n/a,13,16,n/a,22
26/9/2018,13,n/a,n/a,9,10,n/a,16,15,13,18,19,n/a,n/a,8,15,n/a,14
27/9/2018,11,n/a,n/a,7,8,n/a,16,13,12,17,17,n/a,n/a,9,14,n/a,11
28/9/2018,15,n/a,n/a,15,12,n/a,22,18,18,26,24,n/a,n/a,15,16,n/a,18
29/9/2018,23,n/a,n/a,24,19,n/a,30,23,27,40,29,n/a,n/a,20,24,n/a,19
30/9/2018,12,n/a,n/a,8,8,n/a,18,16,13,n/a,27,n/a,n/a,18,14,n/a,30
1/10/2018,10,n/a,n/a,12,9,n/a,19,15,16,n/a,21,n/a,n/a,11,14,n/a,27
2/10/2018,17,n/a,n/a,15,16,n/a,24,21,24,33,26,n/a,n/a,18,20,n/a,35
3/10/2018,28,n/a,n/a,28,27,n/a,38,38,36,47,43,n/a,n/a,27,26,n/a,62
4/10/2018,22,n/a,n/a,24,24,n/a,38,38,32,49,44,n/a,n/a,25,25,n/a,53
5/10/2018,12,n/a,n/a,11,10,n/a,17,15,15,27,21,n/a,n/a,13,16,n/a,24
6/10/2018,16,n/a,n/a,15,16,n/a,22,21,19,35,25,n/a,n/a,17,18,n/a,30
7/10/2018,n/a,n/a,n/a,18,18,n/a,26,25,25,35,29,n/a,n/a,21,21,n/a,33
8/10/2018,n/a,n/a,n/a,22,22,n/a,30,30,28,43,36,n/a,n/a,23,23,n/a,38
9/10/2018,24,n/a,n/a,19,22,n/a,30,26,25,42,30,n/a,n/a,21,28,n/a,41
10/10/2018,29,n/a,n/a,23,25,n/a,33,32,32,42,39,n/a,n/a,28,31,n/a,38
11/10/2018,23,n/a,n/a,24,21,n/a,30,27,31,38,33,n/a,n/a,27,30,n/a,50
12/10/2018,16,n/a,n/a,15,13,n/a,19,19,19,29,26,n/a,n/a,16,20,n/a,44
13/10/2018,27,n/a,n/a,22,23,n/a,33,33,30,45,39,n/a,n/a,25,27,n/a,38
14/10/2018,26,n/a,n/a,20,19,n/a,33,33,25,40,37,n/a,n/a,29,25,n/a,49
15/10/2018,12,n/a,n/a,14,14,n/a,23,19,19,26,23,n/a,n/a,12,15,n/a,16
16/10/2018,12,n/a,n/a,10,13,n/a,17,15,19,27,23,n/a,n/a,9,17,n/a,13
17/10/2018,12,19,20,11,18,38,22,17,19,33,22,n/a,15,8,15,21,16
18/10/2018,21,n/a,19,16,16,33,27,24,22,34,28,n/a,20,16,21,20,14
19/10/2018,32,n/a,26,22,24,37,39,30,31,41,40,n/a,30,28,27,25,n/a
20/10/2018,28,n/a,21,19,22,39,29,22,29,44,32,n/a,22,27,29,18,n/a
21/10/2018,7,8,12,7,8,14,14,13,11,28,17,n/a,10,9,13,12,n/a
22/10/2018,9,12,16,14,12,22,18,14,17,25,19,n/a,11,12,15,19,n/a
23/10/2018,17,17,18,13,15,43,21,20,23,31,29,n/a,18,15,19,18,n/a
24/10/2018,20,17,22,16,19,36,27,25,28,43,33,n/a,19,24,23,16,n/a
25/10/2018,28,26,28,26,26,46,33,36,34,45,40,n/a,28,38,31,22,49
26/10/2018,22,21,22,20,20,35,26,26,27,40,29,n/a,19,27,30,18,41
27/10/2018,20,20,21,21,19,28,29,23,26,35,32,n/a,25,36,25,17,53
28/10/2018,14,19,22,13,15,16,19,15,23,27,23,n/a,16,25,21,21,40
29/10/2018,23,26,25,19,21,44,26,26,31,34,32,n/a,24,38,25,25,54
30/10/2018,24,22,22,21,22,30,25,23,30,31,32,25,23,29,26,24,45
31/10/2018,29,n/a,28,27,28,30,29,27,30,30,36,32,27,35,31,30,43
1/11/2018,34,n/a,34,30,35,33,35,36,40,37,42,44,34,42,37,39,68
2/11/2018,39,n/a,33,35,40,47,40,44,46,47,46,46,39,58,35,40,71
3/11/2018,42,42,41,37,40,55,47,50,49,52,58,48,45,58,46,43,70
4/11/2018,42,43,41,40,n/a,47,46,44,55,52,53,45,42,53,53,45,59
5/11/2018,43,44,38,36,n/a,46,44,44,49,49,50,50,40,51,48,39,68
6/11/2018,32,34,30,38,36,43,39,37,44,47,42,42,34,43,36,32,60
7/11/2018,23,26,24,23,26,34,29,27,34,35,33,33,24,34,28,23,56
8/11/2018,18,20,20,16,18,22,20,20,27,26,25,24,19,25,22,n/a,36
9/11/2018,16,19,18,14,18,23,21,20,28,30,26,26,17,27,20,n/a,42
10/11/2018,20,22,17,17,22,27,24,n/a,26,38,29,25,17,20,24,17,42
11/11/2018,22,18,22,18,21,29,27,n/a,29,33,31,28,21,18,28,21,35
12/11/2018,37,n/a,30,28,29,50,38,n/a,35,42,45,45,34,32,34,28,51
13/11/2018,46,n/a,38,41,38,55,44,52,46,56,54,47,45,33,42,36,47
14/11/2018,44,37,35,32,35,62,40,47,44,51,54,52,43,43,48,32,56
15/11/2018,39,32,40,38,36,59,51,49,42,61,54,52,35,34,34,35,40
16/11/2018,21,21,24,19,23,44,28,26,27,41,30,43,19,13,24,32,20
17/11/2018,20,21,20,17,21,39,25,24,25,37,26,38,16,11,20,28,18
18/11/2018,26,27,30,24,32,32,37,32,33,43,33,32,26,18,23,27,20
19/11/2018,30,28,31,29,33,43,40,38,39,45,n/a,37,30,29,31,25,50
20/11/2018,25,19,25,25,22,42,35,40,28,45,42,50,30,18,20,23,42
21/11/2018,33,25,34,29,29,60,37,46,41,51,51,48,32,31,29,34,53
22/11/2018,35,32,34,31,33,60,36,42,40,43,48,48,28,29,36,33,50
23/11/2018,20,24,27,22,25,37,30,33,29,45,33,29,20,17,20,24,50
24/11/2018,26,22,21,17,27,34,30,27,30,33,38,26,25,n/a,26,26,58
25/11/2018,32,33,29,27,36,42,35,38,48,38,40,32,29,n/a,33,30,63
26/11/2018,32,33,29,29,33,40,35,36,46,38,42,41,30,n/a,33,28,n/a
27/11/2018,26,28,30,27,n/a,32,31,32,35,35,35,31,26,18,25,30,47
28/11/2018,21,20,20,18,n/a,20,25,25,32,29,29,n/a,18,13,26,21,33
29/11/2018,31,30,30,25,n/a,41,33,39,39,42,48,n/a,36,25,35,28,58
30/11/2018,37,38,40,39,n/a,48,41,46,48,51,47,42,38,27,35,40,73
1/12/2018,40,37,36,34,n/a,55,40,51,46,49,49,55,40,33,37,31,72
2/12/2018,38,36,36,27,n/a,56,37,47,39,47,49,53,41,25,35,31,75
3/12/2018,29,29,31,27,n/a,57,32,34,35,39,43,47,30,20,36,25,81
4/12/2018,34,38,40,34,42,43,48,41,49,47,50,47,38,25,34,39,73
5/12/2018,32,29,30,26,n/a,48,31,31,33,40,41,36,30,21,33,33,56
6/12/2018,27,26,29,22,33,38,31,32,34,39,42,34,26,13,32,34,51
7/12/2018,33,36,35,33,n/a,61,35,43,42,47,50,56,38,28,33,32,85
8/12/2018,22,21,22,18,n/a,23,23,23,26,36,28,31,19,10,24,18,33
9/12/2018,21,24,26,24,n/a,26,28,31,32,41,33,26,21,13,28,22,39
10/12/2018,19,29,27,22,n/a,29,30,28,32,38,35,21,25,14,25,n/a,41
11/12/2018,25,31,32,26,n/a,38,33,37,36,43,40,32,30,19,34,23,51
12/12/2018,18,22,24,21,n/a,25,25,26,30,32,32,28,24,12,23,21,43
13/12/2018,18,23,20,19,n/a,25,24,25,26,29,31,30,20,13,23,19,45
14/12/2018,19,24,25,23,n/a,31,28,30,34,34,30,30,22,16,23,21,47
15/12/2018,22,28,25,26,n/a,31,32,32,37,35,37,32,24,19,29,24,47
16/12/2018,21,26,23,25,n/a,27,27,29,35,30,33,n/a,23,17,32,20,49
17/12/2018,22,23,22,22,n/a,27,23,24,28,29,32,n/a,22,19,27,25,40
18/12/2018,24,28,26,24,n/a,31,25,29,35,30,35,n/a,25,23,29,28,58
19/12/2018,43,41,43,38,n/a,69,38,57,48,54,57,n/a,48,43,42,42,87
20/12/2018,72,60,64,61,n/a,97,59,88,73,96,97,n/a,71,76,67,46,108
21/12/2018,67,65,63,57,n/a,81,50,72,81,96,84,n/a,55,56,53,65,71
22/12/2018,57,51,45,45,n/a,56,39,55,59,59,72,n/a,49,82,51,57,69
23/12/2018,47,54,48,44,n/a,52,37,48,55,51,57,n/a,40,47,52,44,n/a
24/12/2018,36,40,39,40,n/a,46,33,52,49,52,50,n/a,36,40,44,40,n/a
25/12/2018,61,49,43,43,n/a,56,40,51,56,56,70,n/a,52,71,65,40,74
26/12/2018,65,59,55,49,n/a,69,47,68,65,65,75,n/a,57,63,91,48,72
27/12/2018,60,61,55,49,n/a,71,44,68,66,69,74,n/a,57,66,78,50,82
28/12/2018,65,62,62,60,n/a,71,46,75,68,75,77,n/a,62,69,70,52,96
29/12/2018,25,22,26,18,n/a,29,25,33,30,43,38,26,23,26,30,25,n/a
30/12/2018,14,19,20,19,n/a,21,24,25,26,31,28,16,13,18,21,16,n/a
31/12/2018,17,22,21,14,n/a,20,22,25,27,28,33,16,20,21,21,17,n/a
,,,,,,,,,,,,,,,,,
หมายเหตุ,N/A : ไม่มีข้อมูล,,,,,,,,,,,,,,,,
